name,age,email,phone,purchase_frequency
Jim Jönes,invalid_age,jim.jones@distansakademin.se,0761-747382,medium
Jade Jensen,52,invalid_mail,0761-113356,high
Jesse Jennings,invalid_age,jesse.jennings@distansakademin.se,0716-349965,high
Jack Smith,invalid_age,jack.smith@distansakademin.se,0778-634164,medium
Jenny Jöhnsön,49,jenny.johnson@distansakademin.se,0764-744648,high
Jasper Smith,invalid_age,jasper.smith@distansakademin.se,0742-605887,high
Jim Jensen,22,jim.jensen@distansakademin.se,0783-123033,low
Jasper Jensen,36,jasper.jensen@distansakademin.se,0753-989775,high
Jim Jöhanssön,invalid_age,jim.johansson@distansakademin.se,0784-525127,low
Jesse Jensen,47,jesse.jensen@distansakademin.se,0781-993096,high
Jim Jennings,49,jim.jennings@distansakademin.se,0718-840007,high
Jasper Jensen,43,jasper.jensen@distansakademin.se,0726-332415,high
Jasper Smith,38,jasper.smith@distansakademin.se,0747-620160,medium
Jade Smith,41,jade.smith@distansakademin.se,0770-717667,medium
Jöe Jenkins,28,invalid_mail,0778-600913,low
Jöe Smith,36,joe.smith@distansakademin.se,0717-497574,medium
Jane Jenkins,21,jane.jenkins@distansakademin.se,0768-452586,medium
Jane Jacksön,52,jane.jackson@distansakademin.se,0722-123982,high
Jöe Jöhnsön,54,joe.johnson@distansakademin.se,0753-948569,medium
Jöhn Jönes,49,john.jones@distansakademin.se,0722-905400,medium
Jim Jöhnsön,33,jim.johnson@distansakademin.se,0799-200049,medium
Jade Jennings,invalid_age,jade.jennings@distansakademin.se,0792-173133,low
Jöhn Jenkins,25,john.jenkins@distansakademin.se,0731-708515,high
Jesse Jönes,63,jesse.jones@distansakademin.se,0712-781010,high
Jöhn Jennings,45,invalid_mail,0727-831663,low
Jöhn Jensen,61,john.jensen@distansakademin.se,0717-486154,medium
Jenny Jacksön,23,jenny.jackson@distansakademin.se,0765-376010,high
Jack Smith,invalid_age,invalid_mail,0751-650716,low
Jöe Smith,42,joe.smith@distansakademin.se,0710-871271,medium
Jade Janssen,invalid_age,jade.janssen@distansakademin.se,0743-785413,medium
Jesse Smith,invalid_age,jesse.smith@distansakademin.se,0756-134670,low
Jill Jennings,61,jill.jennings@distansakademin.se,0718-127703,low
Jasper Jenkins,36,jasper.jenkins@distansakademin.se,0797-696917,low
Jill Jenkins,59,jill.jenkins@distansakademin.se,0789-334770,low
Jesse Jacksön,invalid_age,jesse.jackson@distansakademin.se,0769-476537,low
Jöhn Smith,29,john.smith@distansakademin.se,0726-364669,medium
Jim Jacksön,54,jim.jackson@distansakademin.se,0729-751952,high
Jesse Smith,37,jesse.smith@distansakademin.se,0764-258164,high
Jade Jöhnsön,invalid_age,jade.johnson@distansakademin.se,0729-378736,low
Jill Jönes,invalid_age,jill.jones@distansakademin.se,0787-158402,medium
Jill Jönes,56,jill.jones@distansakademin.se,0727-437727,high
Jack Smith,30,jack.smith@distansakademin.se,0719-904179,medium
Jade Jönes,48,jade.jones@distansakademin.se,0783-240867,medium
Jim Jöhnsön,49,invalid_mail,0765-603450,low
Jesse Janssen,52,jesse.janssen@distansakademin.se,0795-140719,low
Jade Jennings,invalid_age,jade.jennings@distansakademin.se,0770-999866,high
Jill Jensen,33,jill.jensen@distansakademin.se,0717-839025,high
Jade Jensen,63,jade.jensen@distansakademin.se,0716-873684,high
Jill Jennings,invalid_age,jill.jennings@distansakademin.se,0742-122319,high
